zip_code,inspections,population,has_garage,has_dropoff,total_park_acres
10001,182,27004,0,1,14.561
10002,3922,76518,1,1,90.19200000000001
10003,2576,53877,0,1,13.712
10004,18,4579,0,0,23.624
10005,27,8801,0,0,0.117
10006,5,3736,0,1,
10007,133,7506,0,0,36.813
10009,3296,58418,0,1,20.813000000000002
10010,93,32410,0,1,9.821
10011,1208,50772,0,1,18.466
10012,1304,21216,0,1,3.74
10013,1366,29453,0,1,34.621
10014,2166,29461,1,1,11.877
10016,146,54369,0,1,7.083
10017,79,14486,0,1,3.9690000000000003
10018,38,8659,0,0,12.195
10019,527,42766,1,1,79.06
10021,227,40642,0,1,33.16836646
10022,232,33586,0,1,10.592
10023,1557,65706,0,1,1179.888
10024,2285,62774,0,1,1124.269
10025,2464,96988,0,1,1109.609
10026,2195,38265,0,1,33.104000000000006
10027,4737,65806,0,1,71.755
10028,739,45717,0,1,31.245
10029,3680,75614,1,1,43.396
10030,2931,31268,0,1,4.519
10031,3461,61044,0,1,68.724
10032,1303,60480,0,1,394.643
10033,882,58711,0,1,569.579
10034,638,41570,1,1,449.03099999999995
10035,3230,38595,1,1,456.677
10036,1134,30930,0,1,2.71
10037,899,19138,1,1,57.742999999999995
10038,272,23343,0,1,4.287
10039,721,29887,0,1,199.964
10040,439,43653,0,1,264.81
10044,3,11846,0,1,
10065,136,30859,0,1,11.701
10069,28,6259,0,1,
10075,218,23920,0,0,7.712
10112,1,0,0,0,
10115,3,0,0,1,
10128,1260,56695,0,1,29.250999999999998
10162,2,1523,0,1,
10173,1,0,0,0,
10278,1,0,0,0,
10280,3,8843,0,1,49.478
10301,326,40331,1,1,1006.47113571
10302,63,18567,0,1,211.63199999999998
10303,86,27083,0,1,440.716
10304,285,44864,0,1,549.15228275
10305,111,42211,0,1,834.145
10306,127,56232,0,0,2413.687
10307,26,14755,0,0,308.76
10308,78,30075,0,0,441.134
10309,44,34740,0,0,1532.334
10310,106,26239,0,1,314.71500000000003
10312,863,63473,0,0,2340.8
10314,156,94355,1,1,3423.47585296
10451,1792,51311,1,1,152.969
10452,3247,78624,1,1,224.335
10453,3405,80385,0,1,25.585
10454,1808,41073,1,1,50.324999999999996
10455,1766,44380,0,0,49.151
10456,3741,88575,0,1,146.964
10457,4858,79817,1,1,206.01
10458,4883,82678,0,1,915.9040000000001
10459,891,51964,0,1,42.977000000000004
10460,470,59852,1,1,1186.403
10461,2390,50868,0,1,3123.5429999999997
10462,2165,77230,1,1,1065.412
10463,726,70296,0,1,257.943
10464,12,4292,0,1,5558.264999999999
10465,90,46311,0,1,3454.752
10466,209,72273,1,0,248.901
10467,1952,98713,0,1,2288.727
10468,2399,81397,0,1,67.319
10469,4223,71862,0,0,3126.69
10470,1283,15390,0,0,1354.371
10471,34,22888,0,1,1389.24
10472,1976,65283,0,1,239.61900000000003
10473,176,60087,1,1,698.9810000000001
10474,1260,11280,1,0,51.058
10475,28,43517,0,0,3015.022
11101,278,34279,0,0,48.404
11102,193,27069,0,1,19.290997540000003
11103,485,34752,0,1,236.1
11104,198,26939,0,1,3.077
11105,242,38756,0,1,69.846
11106,162,40198,1,1,26.65499754
11109,1,7280,0,1,
11201,1118,69755,0,1,202.896
11203,350,78506,0,1,16.512999999999998
11204,126,80575,1,0,11.345
11205,1391,50319,1,1,43.934
11206,5325,89949,0,1,28.274
11207,585,96801,1,1,274.037
11208,343,108180,1,1,1077.763
11209,323,71812,0,1,1056.682
11210,133,63426,0,1,8.687
11211,597,65511,0,1,102.971
11212,237,84006,0,1,34.629
11213,976,69131,1,1,100.37
11214,140,90796,1,1,908.478
11215,435,72014,1,1,557.447
11216,10373,62373,0,1,84.44800000000001
11217,209,43045,0,1,23.269
11218,326,73318,0,1,149.343
11219,261,92283,0,0,18.734
11220,630,93008,0,1,107.481
11221,9621,91236,0,1,12.28
